Date,daily_return,Volume_Ratio_lag_5,Volume_Change,ADX_14,Stoch_Oscillator,Volume,RSI_14_lag_3,Volatility_10d,Volume_Ratio,return_1d,momentum_3d,Volume_Ratio_lag_3,return_3d,rolling_return_5d,momentum_10d,momentum_7d,RSI_14,Volume_SMA_5,Price_Change,day,MACD_diff_lag_5,MACD_diff,MACD,rolling_std_5d,Volume_Ratio_lag_1,Volume_lag_1,volume_change,Open,RSI_14_lag_5,ATR_14,momentum_5d,Volume_lag_5,MACD_diff_lag_3,Volume_lag_3,month,weekday,SMA_50_was_imputed,target
2015-12-15,0.010496404546509,0.7680211073482393,-0.1552516322596351,14.63626659477403,45.972850678733096,154069600.0,51.91738533512453,2.450840218736675,0.9324457716043593,0.010497782158698898,-0.8400000000000034,0.857870752454259,-0.0038086362159869,-0.0092776032858177,-5.650000000000006,-4.590000000000003,51.051543378698014,165231700.0,0.0104977821586988,15,1.014065883321023,-0.1568117192539158,-0.467121014358554,1.721171112934589,1.1759787367854464,182385200.0,-0.1552516322596351,204.7,53.44809458079717,3.797930855884233,-1.9199999999999875,103372400.0,0.46666880810405864,116128900.0,12,1,0,1
2015-12-16,0.0146341463414634,1.1170227327158493,0.2787532387959728,13.660545158883071,73.1221719457014,197017000.0,46.392716624473515,2.3982067374509253,1.1444176984899637,0.014632005072428456,6.150000000000006,1.5190068179804093,0.0302013674642969,0.0131002240187005,-0.5,-0.3199999999999932,55.14441019074439,172154800.0,0.0146320050724284,16,0.6825188660694487,0.040596702991519185,-0.2873063899384078,2.4367129498569,0.9324457716043593,154069600.0,0.2787532387959728,206.37,51.200599836556776,3.7830786518925,2.6899999999999977,162401500.0,0.04513110644358986,211173300.0,12,2,0,0
2015-12-17,-0.0152714932126697,0.857870752454259,-0.1214336833877279,12.733008869860525,44.434389140271676,173092500.0,47.91848632226863,2.421909485417448,0.9430391650075142,-0.01523818679998068,1.960000000000008,1.1759787367854464,0.0098590576753027,-0.004906008646233,-0.75,-2.089999999999975,50.35326898133172,183547520.0,-0.0152381867999806,17,0.46666880810405864,-0.04671779485089678,-0.3585364546811718,2.360497828848901,1.1444176984899637,197017000.0,-0.1214336833877279,208.4,51.91738533512453,3.772858748185892,-1.009999999999991,116128900.0,-0.16360628976815517,182385200.0,12,3,0,1
2015-12-29,0.0106589147286821,1.5190068179804093,0.3535848394967928,11.871725172911017,67.4208144796381,92640700.0,51.051543378698014,82.07933742557992,0.5795803329558749,0.01239871131504433,2.3700000000000045,0.9324457716043593,0.0067376083605005,-0.2762928327168678,-354.16,-65.97,53.81577304280315,159841000.0,-0.5318601449111797,29,0.04513110644358986,0.056591406955824985,-0.0675048148139865,2.0795263883875164,0.9430391650075142,173092500.0,0.4057790679500273,206.51,46.392716624473515,3.7126545518868985,5.52000000000001,211173300.0,-0.1568117192539158,154069600.0,12,1,1,0
2016-03-02,0.0044872173348289,1.1759787367854464,-0.277748824574382,12.928064705774743,12.727272727272727,102415000.0,55.14441019074439,2.452361446986429,0.7119719457401116,-0.04050144648023146,-9.030000000000001,1.1444176984899637,0.0201404019260198,0.0300207039337474,6.1200000000000045,4.219999999999999,43.108225081517595,143846960.0,0.0044924536873454,2,-0.16360628976815517,-0.42433001379014823,1.084595004960363,3.566122544164778,0.5795803329558749,92640700.0,-0.277748824574382,197.74,47.91848632226863,4.172464941037835,-3.9000000000000057,182385200.0,0.040596702991519185,197017000.0,3,2,0,1
2016-03-03,0.0039381649326986,0.9324457716043593,-0.0707201093589806,13.708892009752978,19.88993710691825,95172200.0,50.35326898133172,2.7733285256365976,0.7206331187662549,0.003919597989949786,-5.0800000000000125,0.9430391650075142,0.0319327547596717,0.0216835430091031,7.689999999999998,7.460000000000008,44.21809927565494,132067480.0,0.0039195979899497,3,-0.1568117192539158,-0.6594118869829296,1.3841855114376074,4.218291123192023,0.7119719457401116,102415000.0,-0.0707201093589806,198.79,51.051543378698014,3.9951460166779893,-5.25,154069600.0,-0.04671779485089678,173092500.0,3,3,0,1
2016-03-04,0.0032201405152223,1.1444176984899637,0.3585227618989579,14.013613899842882,25.000000000000057,129293600.0,53.81577304280315,2.9231240898126227,1.0908753421282655,0.003253578936830648,-6.969999999999999,0.5795803329558749,0.0116455227827498,0.027371982162079,8.430000000000007,7.230000000000018,45.17790499984724,118522800.0,0.0032535789368306,4,0.040596702991519185,-0.7348762774462837,1.6470078682338851,3.6503671048267323,0.7206331187662549,95172200.0,0.3585227618989579,200.01,55.14441019074439,3.875492729772418,-7.599999999999994,197017000.0,0.056591406955824985,92640700.0,3,4,0,1
2016-03-07,0.0008170411438577,0.9430391650075142,-0.2248726928479059,14.296569940640651,26.76282051282056,100219000.0,43.108225081517595,3.179845558793089,0.9641253664088136,0.0007982836900664037,1.5900000000000034,0.7119719457401116,0.0079753465917786,0.0363194874974168,5.810000000000002,5.050000000000011,45.42682543665474,103948100.0,0.0007982836900664,7,-0.04671779485089678,-0.7359352775764088,1.8453215908721745,3.3901843607687967,1.0908753421282655,129293600.0,-0.2248726928479059,199.34,50.35326898133172,3.728671820502959,-4.27000000000001,173092500.0,-0.42433001379014823,102415000.0,3,0,0,0
2016-03-08,-0.0109044259140475,0.5795803329558749,0.2370398826569812,14.768202733250783,10.061242344706955,123974900.0,44.21809927565494,2.7939975343977124,1.12484659520751,-0.010917792512089353,-1.3799999999999955,0.7206331187662549,-0.0068672442549674,0.0014638332239664,6.0800000000000125,3.3100000000000023,42.577181175782954,110214940.0,-0.0109177925120893,8,0.056591406955824985,-0.838597070590418,1.8304924950375607,0.9345319684215154,0.9641253664088136,100219000.0,0.2370398826569812,199.32,53.81577304280315,3.6323381190384616,-9.0,92640700.0,-0.6594118869829296,95172200.0,3,1,0,1
2016-03-09,0.0048932908855086,0.7119719457401116,-0.2353194073961745,15.206147469245906,18.63517060367449,94801200.0,45.17790499984724,2.428757341156255,0.8721989015217102,0.0049395161290322065,-1.0500000000000114,1.0908753421282655,-0.0051940938846811,0.0019095477386934,6.180000000000007,5.819999999999993,44.26216222598407,108692180.0,0.0049395161290322,9,-0.42433001379014823,-0.7953464983238696,1.8642247704373744,0.8835326819092623,1.12484659520751,123974900.0,-0.2353194073961745,199.36,43.108225081517595,3.472171110535714,0.37999999999999545,102415000.0,-0.7348762774462837,129293600.0,3,2,0,1
2016-03-10,0.0008213552361397,0.7206331187662549,0.6543957249486294,15.1946147007293,20.39180765805872,156838700.0,45.42682543665474,2.307132900857759,1.2959147115136416,0.0008024877119068297,-1.0500000000000114,0.9641253664088136,-0.005189779792399,-0.0012013214535989,4.0,1.4299999999999784,44.54825331720927,121025480.0,0.0008024877119068,10,-0.6594118869829296,-0.7134258775368523,1.8805765557740983,0.8857031105295863,0.8721989015217102,94801200.0,0.6543957249486294,199.96,44.21809927565494,3.4877303169260196,-0.2400000000000091,95172200.0,-0.7359352775764088,100219000.0,3,3,0,1
2016-03-11,0.0161205228911425,1.0908753421282655,-0.1203414718433651,14.639904895207392,49.065004452359716,137964500.0,42.577181175782954,2.3631534957430183,1.1238586030622764,0.016137115365340238,4.359999999999985,1.12484659520751,0.0218351690127909,0.0116250062365912,7.6699999999999875,3.759999999999991,50.099375313392564,122759660.0,0.0161371153653402,11,-0.7348762774462837,-0.41465394064141714,2.091329931114558,1.6607167127483489,1.2959147115136416,156838700.0,-0.1203414718433651,201.26,45.17790499984724,3.473606722859875,2.329999999999984,129293600.0,-0.838597070590418,123974900.0,3,4,0,0
2016-03-14,-0.0012691819545401,0.9641253664088136,-0.4664424543995012,14.05317930212606,46.74977738201251,73612000.0,44.26216222598407,1.5689023055762066,0.6268144640426382,-0.0012823042020121411,3.1200000000000045,0.8721989015217102,0.0156726961727421,0.0095219103644248,8.939999999999998,2.719999999999999,49.66702493111025,117438260.0,-0.0012823042020121,14,-0.7359352775764088,-0.21676630842550992,2.2150674197019384,1.9806766520564651,1.1238586030622764,137964500.0,-0.4664424543995012,202.16,45.42682543665474,3.3162062426555967,1.9099999999999966,100219000.0,-0.7953464983238696,94801200.0,3,0,0,0
2016-03-15,-0.0016173752310536,1.12484659520751,0.2656781503015812,13.712306480455897,43.81121994657161,93169100.0,44.54825331720927,1.5363611409930285,0.8372711007026603,-0.0016296296296296475,2.6299999999999955,1.2959147115136416,0.0132339657055486,0.019002016129032,4.059999999999974,1.739999999999981,49.08799092584717,111277100.0,-0.0016296296296296,15,-0.838597070590418,-0.09645778280659356,2.2644336296242216,1.6664333169981516,0.6268144640426382,73612000.0,0.2656781503015812,201.36,42.577181175782954,3.185048653894482,3.769999999999982,123974900.0,-0.7134258775368523,156838700.0,3,1,0,1
2016-03-16,0.0057856977551493,0.8721989015217102,0.3878335199116445,12.961775229943028,54.22974176313454,129303200.0,50.099375313392564,1.6854372990077977,1.09414397833767,0.005787208784686193,0.5800000000000125,1.1238586030622764,0.0028991405695555,0.019861570869696,4.340000000000003,2.75,51.25768584912363,118177500.0,0.0057872087846861,16,-0.7953464983238696,0.0648652325659913,2.357077427943665,1.4734720899974045,0.8372711007026603,93169100.0,0.3878335199116445,201.6,44.26216222598407,3.119688035759161,3.960000000000008,94801200.0,-0.41465394064141714,137964500.0,3,2,0,1
2016-03-17,0.0063276576161988,1.2959147115136416,0.0384777793589021,12.259843573671915,65.71682991985755,134278500.0,49.66702493111025,1.9994232501726807,1.1813483181258406,0.00634405429330176,2.1299999999999955,0.6268144640426382,0.0104959801402945,0.0255086699408639,4.849999999999994,6.22999999999999,53.60534435996099,113665460.0,0.0063440542933017,17,-0.7134258775368523,0.2509487951661973,2.490549606935332,0.9665660867220277,1.09414397833767,129303200.0,0.0384777793589021,203.24,44.54825331720927,3.0725674617763623,5.090000000000003,156838700.0,-0.21676630842550992,73612000.0,3,3,0,1
2016-03-21,0.0014234470193019,1.1238586030622764,-0.1239088910512847,11.608049892848738,70.39848197343447,72926700.0,49.08799092584717,109.07245716596954,0.7245005111372281,0.00019547475932157887,2.5,0.8372711007026603,0.0053676564625395,-0.2998665891287244,-3.160000000000025,-223.25000000000003,53.679843928732765,100657900.0,-0.4752454939363638,21,-0.41465394064141714,0.3624529383991233,2.759203447303662,1.1654484115571389,1.1813483181258406,134278500.0,-0.4729678750964787,204.07,50.099375313392564,2.934526928792335,1.9099999999999966,137964500.0,-0.09645778280659356,93169100.0,3,0,1,1
2016-04-04,-0.0032056689724987,0.6268144640426382,-0.4589599611455254,11.67507866248617,91.64969450101839,63497000.0,51.25768584912363,112.4970256446317,0.643757939633943,0.007719743978111149,2.9099999999999966,1.09414397833767,0.0011601336250127,-0.5574888969941427,-1.789999999999992,-196.17,56.64154601132994,98634900.0,-0.5490324696621843,4,-0.21676630842550992,0.5188200136919308,2.477074993783731,1.53851226839467,0.7245005111372281,72926700.0,-0.4450702871350728,206.83,49.66702493111025,2.8963464338785974,3.75,73612000.0,0.0648652325659913,129303200.0,4,0,1,1
2016-05-27,0.0043359831007838,0.8372711007026603,0.1615482437812836,12.581319828217858,99.9222999223,64211200.0,53.60534435996099,2.209997737554695,0.691608184627607,0.019345454545454555,5.610000000000014,1.1813483181258406,0.0113877862125659,0.023115480072023,5.480000000000018,5.3300000000000125,63.06426088774609,92843320.0,0.0042992261392948,27,-0.09645778280659356,0.8477273592320855,0.5764799489629695,2.674421432758987,0.643757939633943,63497000.0,0.1615482437812836,209.53,49.08799092584717,2.9751788314586975,8.070000000000022,93169100.0,0.2509487951661973,134278500.0,5,4,0,0
